AERONET_Database_Site_List,Num=2,Date_Generated=20:10:2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
Kellogg_LTER,-85.371717,42.407983,293.000000
Rossfeld,7.624750,48.335139,167.000000
Cabauw,4.927000,51.971000,-0.700000
Longyearbyen,15.649000,78.222833,30.000000
Great_Falls,-77.245000,39.005333,0.000000
Riverside_Park,-77.066667,38.716667,0.000000
Rockville,-77.129582,39.056085,0.000000
The_Mall,-77.030917,38.889522,6.000000
Greenbelt_Park,-76.893550,38.746000,0.000000
Worthington_ES,-76.792985,39.244536,160.000000
Mt_Royal_ES_MS,-76.625087,39.309093,80.000000
Mt_Washington_ES,-76.654590,39.366310,100.000000
Southeast_MS,-76.530643,39.284685,0.000000
Talmudical_Academy,-76.746190,39.369406,100.000000
Sugarcone,-76.685833,39.384722,0.000000
Frederick_Douglas,-76.654572,39.315484,80.000000
Hamilton_El_MS,-76.558236,39.358986,100.000000
Lakeland_El_MS,-76.645314,39.254146,100.000000
Lansdowne_HS,-76.648472,39.245066,35.000000
Robert_Poole_MS,-76.637520,39.330410,27.000000
Waters_Art_Gallery,-76.616667,39.300000,0.000000
Patapsco_MS,-76.847241,39.303046,0.000000
Catonsville,-76.752500,39.279000,0.000000
Windsor_Corp_Park,-76.754500,39.326500,157.000000
St_Timothys_Lane,-76.728612,39.272724,0.000000
Glendale_Park,-76.578817,39.383700,0.000000
Clifton_Park,-76.590533,39.314306,0.000000
LW-SCAN,-97.978840,34.960470,358.000000
Toulon,6.009444,43.135556,50.000000
Dunkerque,2.368117,51.035350,0.000000
Irkutsk,103.086644,51.799797,670.000000
Evora,-7.911500,38.567833,293.000000
ETNA,15.019433,37.613500,736.000000
Sao_Martinho_SONDA,-53.823444,-29.443333,489.000000
Brasilia_SONDA,-47.713480,-15.601290,992.000000
Petrolina_SONDA,-40.500000,-9.383300,370.000000
Campo_Grande_SONDA,-54.538100,-20.438300,677.000000
Ellington_Field,-95.180000,29.600000,25.000000
Hyytiala,24.295892,61.846447,191.000000
MVCO,-70.550000,41.300000,10.000000
Laegeren,8.351389,47.480278,735.000000
Egbert_X,-79.750000,44.225667,264.000000
Mace_Head,-9.900000,53.330000,20.000000
Blida,2.880556,36.508333,230.000000
Dhabi,54.382778,24.480556,15.000000
New_Hampshire_Univ,-70.920000,43.132500,30.000000
Crozet_Island,51.850361,-46.434806,221.000000
Mukdahan,104.676111,16.606667,166.000000
Los_Alamos,-106.326067,35.873583,2350.000000
BEIJING_2002,116.283333,39.933333,0.000000
Cabo_da_Roca,-9.500000,38.783333,140.000000
Messina,15.566833,38.197500,15.000000
Panama_BCI,-79.850000,9.166667,0.000000
Djougou,1.599010,9.760070,400.000000
Gwangju_GIST,126.843139,35.228278,52.000000
Thessaloniki,22.960000,40.630000,60.000000
Rio_Piedras,-66.051483,18.401850,30.000000
Umm_Al_Quwain,55.658333,25.533333,20.000000
Abu_Dhabi,54.328889,24.476111,7.000000
Ames,-93.774778,42.021361,338.000000
Darwin,130.891500,-12.424000,29.000000
IER_Cinzana,-5.933867,13.278433,285.000000
Granada,-3.605000,37.164000,680.000000
Mezaira,53.778611,23.145000,204.000000
Al_Khaznah,55.100556,24.158611,192.000000
Hamim,54.300000,22.966667,209.000000
Jabal_Hafeet,55.776383,24.058217,1059.000000
Al_Qlaa,53.033333,24.133333,5.000000
Saada,-8.155830,31.625830,420.000000
Saih_Salam,55.312783,24.829467,84.000000
Dhadnah,56.324717,25.512817,81.000000
Chebogue_Point,-66.123000,43.747000,0.000000
