,Facility Name,orispl_code,Gross Load (MW-h),EPA Region,latitude,longitude,State,County,timezone,time_offset
509,Hutchinson Energy Center,1248,69542.07,7,38.0906,-97.8747,KS,Reno,America/Chicago,6.0
510,Jeffrey Energy Center,6068,12784411.93,7,39.2825,-96.1153,KS,Pottawatomie,America/Chicago,6.0
511,La Cygne,1241,9262519.47,7,38.3472,-94.6389,KS,Linn,America/Chicago,6.0
512,Lawrence Energy Center,1250,3306943.22,7,39.0072,-95.2692,KS,Douglas,America/Chicago,6.0
513,McPherson Municipal Power Plant #3,7515,4810.15,7,38.3864,-97.61,KS,McPherson,America/Chicago,6.0
514,Murray Gill Energy Center,1242,185822.73,7,37.5956,-97.4131,KS,Sedgwick,America/Chicago,6.0
515,Nearman Creek,6064,1109086.85,7,39.1714,-94.6958,KS,Wyandotte,America/Chicago,6.0
516,Neosho Energy Center,1243,,7,37.3062,-95.1118,KS,Labette,America/Chicago,6.0
517,Osawatomie Generating Station,7928,11354.99,7,38.5325,-94.9042,KS,Miami,America/Chicago,6.0
518,Quindaro,1295,985690.22,7,39.1486,-94.6405,KS,Wyandotte,America/Chicago,6.0
519,Riverton,1239,323361.97,7,37.0719,-94.6986,KS,Cherokee,America/Chicago,6.0
520,Tecumseh Energy Center,1252,1330063.49,7,39.0522,-95.5669,KS,Shawnee,America/Chicago,6.0
521,West Gardner Generating Station,7929,62615.08,7,38.7878,-94.985,KS,Johnson,America/Chicago,6.0
522,Big Sandy,1353,2796220.1,4,38.1707,-82.6176,KY,Lawrence,America/New_York,5.0
523,Bluegrass Generating Station,55164,57446.01,4,38.3902,-85.4133,KY,Oldham,America/New_York,5.0
524,Cane Run,1363,2953110.11,4,38.1828,-85.8894,KY,Jefferson,America/Kentucky/Louisville,5.0
525,Coleman,1381,3394859.75,4,37.9628,-86.7917,KY,Hancock,America/Chicago,6.0
526,D B Wilson,6823,3284474.75,4,37.4497,-87.0803,KY,Ohio,America/Chicago,6.0
527,"DTE Calvert City, LLC",55308,86989.36,4,37.0467,-88.3506,KY,Marshall,America/Chicago,6.0
528,E W Brown,1355,2945922.57,4,37.7889,-84.7139,KY,Mercer,America/New_York,5.0
529,East Bend,6018,3514682.46,4,38.9031,-84.8511,KY,Boone,America/New_York,5.0
530,Elmer Smith,1374,2688490.3,4,37.7958,-87.0597,KY,Daviess,America/Chicago,6.0
531,Ghent,1356,13441331.81,4,38.7497,-85.035,KY,Carroll,America/New_York,5.0
532,Green River,1357,975396.47,4,37.3636,-87.1214,KY,Muhlenberg,America/Chicago,6.0
533,H L Spurlock,6041,9022580.73,4,38.7,-83.8175,KY,Mason,America/New_York,5.0
534,HMP&L Station 2,1382,2227050.5,4,37.6472,-87.5028,KY,Henderson,America/Chicago,6.0
535,John S. Cooper,1384,1587365.78,4,37.0,-84.5917,KY,Pulaski,America/New_York,5.0
536,Marshall,55232,132253.11,4,37.0286,-88.3958,KY,Marshall,America/Chicago,6.0
537,Mill Creek,1364,9292542.57,4,38.0531,-85.91,KY,Jefferson,America/Kentucky/Louisville,5.0
